Name,Designator,Quantity,Notes
100nF,"C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C22",14,
47uF,C14,1,
122pF,C16,1,
22uF,"C17,C18",2,
47nF,C19,1,
100nf,C20,1,
1nF,C21,1,
RCA,CN1,1,
IN4148,D1,1,
LED-TH-3mm_G,D2,1,
LED-TH-3mm_R,D3,1,
RC2014 Male RA 40,J1,1,
HDR-M-2.54_1x3,J2,1,
S9012 H,Q1,1,
820R,R1,1,
330R,"R2,R3",2,
75R,R4,1,
120K,R5,1,
1K,"R6,R7,R8,R10",4,
1K,R9,1,
15K,R11,1,
4K7,R13,1,
74HC138,U1,1,
74HC193,"U2,U4,U8",3,
74HC175,U3,1,
74HC4094,"U5,U6",2,
74HC132,U7,1,
74HC74,U9,1,
74HC00,"U10,U13",2,
74HC74,U11,1,
74HC125,U12,1,
